STATION,NAME,DATE,PRCP,TMAX,TMIN
USC00448062,"STAUNTON WATER TREATMENT PLANT, VA US",5/2/1980,0,68,39
USC00447338,"ROCKY MOUNT, VA US",5/2/1980,0,70,45
USC00445213,"MANASSAS, VA US",5/2/1980,0,77,56
USC00444044,"HOLLAND 1 E, VA US",5/2/1980,0.05,62,48
USC00448829,"WALKERTON 2 NW, VA US",5/3/1980,0.03,78,47
USC00442208,"DALE ENTERPRISE, VA US",5/3/1980,0,75,41
USC00448062,"STAUNTON WATER TREATMENT PLANT, VA US",5/3/1980,0,71,39
USC00447338,"ROCKY MOUNT, VA US",5/3/1980,0,75,45
USC00445213,"MANASSAS, VA US",5/3/1980,0,,
USC00444044,"HOLLAND 1 E, VA US",5/3/1980,0,74,44
USC00448829,"WALKERTON 2 NW, VA US",5/4/1980,0,83,49
USC00442208,"DALE ENTERPRISE, VA US",5/4/1980,0,80,44
USC00448062,"STAUNTON WATER TREATMENT PLANT, VA US",5/4/1980,0,75,43
USC00447338,"ROCKY MOUNT, VA US",5/4/1980,0,77,52
USC00445213,"MANASSAS, VA US",5/4/1980,0,,
USC00444044,"HOLLAND 1 E, VA US",5/4/1980,0,77,51
USC00448829,"WALKERTON 2 NW, VA US",5/5/1980,0,88,46
USC00442208,"DALE ENTERPRISE, VA US",5/5/1980,0,82,43
USC00448062,"STAUNTON WATER TREATMENT PLANT, VA US",5/5/1980,0,79,42
USC00447338,"ROCKY MOUNT, VA US",5/5/1980,0,83,44
USC00445213,"MANASSAS, VA US",5/5/1980,0,75,52
USC00444044,"HOLLAND 1 E, VA US",5/5/1980,0,83,52
USC00448829,"WALKERTON 2 NW, VA US",5/6/1980,0,89,51
USC00442208,"DALE ENTERPRISE, VA US",5/6/1980,0,80,48
USC00448062,"STAUNTON WATER TREATMENT PLANT, VA US",5/6/1980,0,81,42
USC00447338,"ROCKY MOUNT, VA US",5/6/1980,0,83,44
USC00445213,"MANASSAS, VA US",5/6/1980,0,74,50
USC00444044,"HOLLAND 1 E, VA US",5/6/1980,0,85,56
USC00448829,"WALKERTON 2 NW, VA US",5/7/1980,0,84,58
USC00442208,"DALE ENTERPRISE, VA US",5/7/1980,0,79,47
USC00448062,"STAUNTON WATER TREATMENT PLANT, VA US",5/7/1980,0.1,79,46
USC00447338,"ROCKY MOUNT, VA US",5/7/1980,0,83,59
USC00445213,"MANASSAS, VA US",5/7/1980,0,68,47
USC00444044,"HOLLAND 1 E, VA US",5/7/1980,0,85,56
USC00448829,"WALKERTON 2 NW, VA US",5/8/1980,0.05,69,50
USC00442208,"DALE ENTERPRISE, VA US",5/8/1980,0.02,74,45
USC00448062,"STAUNTON WATER TREATMENT PLANT, VA US",5/8/1980,0.11,78,45
USC00447338,"ROCKY MOUNT, VA US",5/8/1980,0.13,82,50
USC00445213,"MANASSAS, VA US",5/8/1980,0,73,54
USC00444044,"HOLLAND 1 E, VA US",5/8/1980,0,83,59
USC00448829,"WALKERTON 2 NW, VA US",5/9/1980,0,64,39
USC00442208,"DALE ENTERPRISE, VA US",5/9/1980,0,59,31
USC00448062,"STAUNTON WATER TREATMENT PLANT, VA US",5/9/1980,0,60,28
USC00447338,"ROCKY MOUNT, VA US",5/9/1980,0.18,60,32
USC00445213,"MANASSAS, VA US",5/9/1980,0.22,78,
USC00444044,"HOLLAND 1 E, VA US",5/9/1980,0,64,42
USC00448829,"WALKERTON 2 NW, VA US",5/10/1980,0,75,35
USC00442208,"DALE ENTERPRISE, VA US",5/10/1980,0,71,32
USC00448062,"STAUNTON WATER TREATMENT PLANT, VA US",5/10/1980,0,60,31
USC00447338,"ROCKY MOUNT, VA US",5/10/1980,0,,
USC00445213,"MANASSAS, VA US",5/10/1980,0.17,76,
USC00444044,"HOLLAND 1 E, VA US",5/10/1980,0,68,31
USC00448829,"WALKERTON 2 NW, VA US",5/11/1980,0,80,57
USC00442208,"DALE ENTERPRISE, VA US",5/11/1980,,77,53
